page,combined_question_number,page_question_number,source_quiz_name,source_quiz_id,source_question_id,question_type,question,points,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,correct_answer_labels,feedback
1,1,1,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,bba52518-204b-48a3-8713-d696a68c35cd,radio_button,What is the sound of the soft tissue of the upper airway creating impedance or partial obstruction to the flow of air?,1,Stridor,Snoring,Gurgling,Hoarseness,,,B,
1,2,2,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,d6b73ea8-4869-4a8a-95ea-f9e166f70178,radio_button,Which of the following structures is NOT found in the upper airway?,1,Oropharynx,Pharynx,Larynx,Bronchus,,,D,
1,3,3,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,69df4422-dbad-4429-95ec-ef3615b45946,radio_button,"You are ventilating an 85-year-old male without difficulty. A nurse tells you that the patient has dentures. To ensure a good mask seal, you should:",1,use an infant mask over the nose.,remove the dentures.,tape the dentures in place.,leave the dentures in place.,,,D,
1,4,4,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,66ef216f-6da1-4478-8487-c469d011d73c,radio_button,Your patient is breathing 4 shallow breaths per minute due to overdosing on his pain medication but he has a palpable radial pulse. He vomited prior to your arrival and is choking. You should:,1,insert an oropharyngeal airway and ventilate.,move the patient to the ambulance and suction.,perform chest thrusts to clear the lungs.,roll him onto his side to clear the airway.,,,D,
1,5,5,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,1b4d2d27-8995-41e6-8780-8de70984f475,radio_button,Which of the following is a disadvantage of oropharyngeal airways (OPAs)?,1,They do not come in pediatric sizes.,They cannot be used in patients with a suspected skull fracture.,They cannot be used in a patient with a gag reflex.,They require the use of a water-soluble lubricant.,,,C,
1,6,6,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,18458bac-c68a-4056-ba28-ee44a5d16e20,radio_button,The high-pitched sound caused by an upper airway obstruction is known as:,1,gurgling.,stridor.,snoring.,hoarseness.,,,B,
1,7,7,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,8130c2c1-99fb-4b8b-b3df-80a393d3f8e6,radio_button,Which of the following structures is found in the lower airway?,1,Tonsils,Bronchi,Uvula,Pharynx,,,B,
1,8,8,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,90ac7538-5254-47ea-b2df-286e93df5fb9,radio_button,"You have performed a head tilt-chin lift maneuver on a 17-month-old boy and are attempting to ventilate him with a bag-valve mask. You are experiencing a lot of resistance with each breath and the chest is barely rising. Prior to attempting ventilations again, you should:",1,finger sweep the airway.,perform chest thrusts.,tilt the head back further.,ease the head forward a little to re-position the airway.,,,D,
1,9,9,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,c652d659-a117-4df3-a415-7fc1ecf9305b,radio_button,Which of the following gases increases during respiratory failure?,1,Carbon monoxide,Nitrogen,Oxygen,Carbon dioxide,,,D,
1,10,10,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,3a2d3fd4-b0f0-421d-9038-5df1ea31511f,radio_button,On which of the following types of calls should you bring your portable suction unit to the patient's side upon arrival on the scene?,1,Cardiac arrest,Motor vehicle collision,Seizure,All of the above,,,D,
1,11,11,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,99e3edc9-236c-4b9e-87d0-2aa4099f9010,radio_button,Which of the following is the correct method of suctioning?,1,Insert the catheter or tip to the desired depth prior to applying suction.,Begin suctioning as you insert the suction tip or catheter into the mouth.,"Suction continuously, both while inserting and withdrawing the suction tip or catheter.","Suction intermittently, both while inserting and withdrawing the suction tip or catheter.",,,A,
1,12,12,Refresher A - 1,66564166-9de9-4b17-9c2d-6f76bc186970,9f692207-d270-4e0e-8ed3-830b5ca7cc0a,radio_button,"When inserting an oropharyngeal airway, how many degrees do you need to rotate the airway so the tip is pointing down into the patient’s pharynx?",1,180,270,45,60,,,A,
2,13,1,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,54517cda-a70d-4c1f-b398-c7ca55f96be4,radio_button,"Your patient is a 55-year-old man with a history of chronic bronchitis. You have been called to his home today because of an increase in his level of respiratory distress. The patient is on 2 liters per minute of oxygen by nasal cannula at home. Your assessment reveals difficulty speaking due to shortness of breath, leaning forward to breathe, a productive cough, and a respiratory rate of 32 per minute. Which of the following is true concerning the best course of action for this patient?",1,"Because increased blood levels of carbon dioxide are the primary stimulus to breathe, you should encourage the patient to rebreathe his exhaled air from a paper bag.",You should not increase the patient's oxygen flow rate because of his likely dependence on a hypoxic drive to stimulate breathing.,You should increase the patient's oxygen flow rate until his respiratory rate decreases and then resume oxygen administration at 2 liters per minute.,You should increase the patient's oxygen flow rate to deliver adequate amounts of oxygen to his tissues.,,,D,
2,14,2,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,9da1b4b9-dbe0-4af9-973f-b0ca3f1b0332,radio_button,What is the danger that an altered mental status can pose to a patient's breathing?,1,Depressed alveolar function,Hyperoxia,Bronchospasms,Loss of muscle tone and airway collapse,,,D,
2,15,3,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,e0327298-a317-41c4-b964-202939e3b1cd,radio_button,What device is used to perform mouth-to-mask ventilation?,1,Stoma,Bag-valve mask,Pocket face mask,Automatic transport ventilator,,,C,
